index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province
2891,carolina retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,12,alma street,K7H2R7,perth,on
2892,caroline family health team of burlington,family health team - contract,Ambulatory health care services,Province of Ontario,,3305,harvester road,L7N3N2,burlington,on
2893,caroline place retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,118,market street,L8R3P9,hamilton,on
2894,carriage house retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1530,county road 10,K0K1P0,cherry valley,on
2895,carrington place retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,75,dunham drive,L9G1X7,hamilton,on
2896,carveth care centre,retirement home,Nursing and residential care facilities,Province of Ontario,,375,james street,K7G2Z1,gananoque,on
2897,casa dolce casa,retirement home,Nursing and residential care facilities,Province of Ontario,,7890,pine valley drive,L4L2J3,vaughan,on
2898,case manor care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,28,boyd street,K0M1A0,kawartha lakes,on
2899,casey house hospice,hospital - corporation,Nursing and residential care facilities,Province of Ontario,,9,huntley street,M4Y1P2,toronto,on
2900,cassellholme,long-term care home,Nursing and residential care facilities,Province of Ontario,,400,olive street,P1B6J4,north bay,on
2901,cassellholme - css,community support service,Ambulatory health care services,Province of Ontario,,400,olive street,P1B6J4,north bay,on
2902,castle peak retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,56,douglas drive,P1L0B9,bracebridge,on
2903,castleview wychwood towers,long-term care home,Nursing and residential care facilities,Province of Ontario,,351,christie street,M6G3C3,toronto,on
2904,cathmar manor,retirement home,Nursing and residential care facilities,Province of Ontario,,236,catherine street n,L8L4S6,hamilton,on
2905,catholic family services of hamilton,community support service,Ambulatory health care services,Province of Ontario,,447,main street e,L8N1K1,hamilton,on
2906,causeway work centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,22,omeara street,K1Y4N6,ottawa,on
2907,cavendish manor residence,retirement home,Nursing and residential care facilities,Province of Ontario,,5781,dunn street,L2G2N9,niagara falls,on
2908,cawthra gardens,long-term care home,Nursing and residential care facilities,Province of Ontario,,590,lolita gardens,L5A4N8,mississauga,on
2909,cawthra gardens long term care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L5A4N8,mississauga,on
2910,cbi brantford physiotherapy and sports medicine centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,N3R3V6,brantford,on
2911,cedar centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,17705,leslie street,L3Y3E3,newmarket,on
2912,cedar crossing retirement community,retirement home,Nursing and residential care facilities,Province of Ontario,,395,cedar street,N3Y2N3,simcoe,on
2913,cedarbrook lodge retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,520,markham road,M1H3A1,toronto,on
2914,cedarcroft place,retirement home,Nursing and residential care facilities,Province of Ontario,,649,king street e,L1H8P9,oshawa,on
2915,cedarcroft stratford retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,260,church street,N5A2R6,stratford,on
2916,cedarhurst dementia care home,retirement home,Nursing and residential care facilities,Province of Ontario,,2601,bayview avenue,M2L1B5,toronto,on
2917,cedarvale lodge retirement and care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,121,morton avenue,L4P2M5,georgina,on
2918,cedarvale terrace,long-term care home,Nursing and residential care facilities,Province of Ontario,,429,walmer road,M5P2X9,toronto,on
2919,cedarwood lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,860,great northern road,P6B0B5,sault ste marie,on
2920,cedarwood village,long-term care home,Nursing and residential care facilities,Province of Ontario,,500,queensway w,N3Y4R4,simcoe,on
2921,centennial park place,retirement home,Nursing and residential care facilities,Province of Ontario,,25,centennial park road,M9C5H1,toronto,on
2922,centennial place long-term care home,long-term care home,Nursing and residential care facilities,Province of Ontario,,2,centennial lane n,M5J2G2,millbrook,on
2923,central brampton family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,300,main street,L6V4H6,brampton,on
2924,central chc st thomas,children's treatment centre,Hospitals,Province of Ontario,,359,talbot street street,N5P1B7,saint thomas,on
2925,central east community care access centre (css),community support service,Ambulatory health care services,Province of Ontario,,920,champlain court,L1N6K9,whitby,on
2926,central east local health integration network,community support service,Ambulatory health care services,Province of Ontario,,314,harwood avenue s,L1S2J1,ajax,on
2927,central east local health integration network (lhin op),community support service,Ambulatory health care services,Province of Ontario,,314,harwood avenue s,L1S2J1,ajax,on
2928,central hastings fht,family health team - contract,Ambulatory health care services,Province of Ontario,,52,st lawrence street e,K0K2K0,madoc,on
2929,central lambton family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,4130,glenview avenue,N0N1R0,petrolia,on
2930,central lhin-home care (css),community support service,Ambulatory health care services,Province of Ontario,,1100,gorham street,L3Y8Y8,newmarket,on
2931,central local health integration network,local health integration network office,Ambulatory health care services,Province of Ontario,,11,allstate parkway,L3R9T8,markham,on
2932,central local health integration network (lhin op),community support service,Ambulatory health care services,Province of Ontario,,11,allstate parkway,L3R9T8,markham,on
2933,central neighbourhood house association,community support service,Ambulatory health care services,Province of Ontario,,365,bloor street e,M4W3L4,toronto,on
2934,central place retirement community,retirement home,Nursing and residential care facilities,Province of Ontario,,855,3 avenue e,N4K2K6,owen sound,on
2935,central toronto youth services,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,65,wellesley street e,M4Y1G7,toronto,on
2936,central west community care access centre (css),community support service,Ambulatory health care services,Province of Ontario,,199,county court boulevard,L6W4P3,brampton,on
2937,central west local health integration network,community support service,Ambulatory health care services,Province of Ontario,,199,county court boulevard,L6W4P3,brampton,on
2938,central west local health integration network (lhin op),community support service,Ambulatory health care services,Province of Ontario,,199,county court boulevard,L6W4P3,brampton,on
2939,centre d'accueil champlain,long-term care home,Nursing and residential care facilities,Province of Ontario,,275,perrier avenue,K1L5C6,ottawa,on
2940,centre d'accueil mon chez nous,retirement home,Nursing and residential care facilities,Province of Ontario,,2025,rue lajoie,K0B1J0,lefaivre,on
2941,centre d'accueil roger seguin,long-term care home,Nursing and residential care facilities,Province of Ontario,,435,lemay street,K0A1N0,clarence creek,on
2942,centre de reeducation cor jesus de timmins incorporee,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,140,jubilee avenue w,P4N4M9,timmins,on
2943,centre de sante communautaire de sudbury est (noelville & st charles),community health centre,Hospitals,Province of Ontario,,44,saint christophe street,P0M2N0,noelville,on
2944,centre de sante communautaire du temiskaming,community support service,Ambulatory health care services,Province of Ontario,,20,may street s,P0J1P0,temiskaming shores,on
2945,centre de sante communautaire hamilton-wentworth - css,community support service,Ambulatory health care services,Province of Ontario,,810,east main street,L3B5N4,welland,on
2946,centre de santé communautaire chigamik chc,children's treatment centre,Hospitals,Province of Ontario,,344,king street,L4R4L1,midland,on
2947,centre de santé communautaire de sudbury,children's treatment centre,Hospitals,Province of Ontario,,19,frood road,P3C4Y9,sudbury,on
2948,centre de services guigues,senior active living centre,Nursing and residential care facilities,Province of Ontario,,162,murray street,K1N5M8,ottawa,on
2949,centre for addiction and mental health,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,M6J1H4,toronto,on
2950,centre for addiction and mental health (camh),mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,250,college street,M5T1R8,toronto,on
2951,centre for addiction and mental health (corporate office),psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,,1001,queen st w,M6J1H4,toronto,on
2952,centre for addiction and mental health (css),community support service,Ambulatory health care services,Province of Ontario,,1001,queen street w,M6J1H4,toronto,on
2953,centre for addiction and mental health - brentcliffe rd. site,psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,,175,brentcliffe rd,M4G3Z1,toronto,on
2954,centre for addiction and mental health - college st. site,psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,,250,college st,M5T1R8,toronto,on
2955,centre for addiction and mental health - college street site,hospital - site,Hospitals,Province of Ontario,,250,college street,M5T1R8,toronto,on
2956,centre for addiction and mental health - queen street site,hospital - corporation,Hospitals,Province of Ontario,,1001,queen street w,M6J1H4,toronto,on
2957,centre for addiction and mental health - russell st. site,psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,,33,russell st,M5S2S1,toronto,on
2958,centre for education and research on aging and health (cerah),community support service,Ambulatory health care services,Province of Ontario,,955,oliver road,P7B5E1,thunder bay,on
2959,centre for family medicine fht,family health team - contract,Ambulatory health care services,Province of Ontario,,10,victoria street s,N2G1C5,kitchener,on
2960,centre for information and community services of ontario,community support service,Ambulatory health care services,Province of Ontario,,2330,midland avenue,M1S5G5,toronto,on
2961,centre francophone de toronto,community health centre,Hospitals,Province of Ontario,,22,college street,M5G1K3,toronto,on
2962,centres for seniors windsor,community support service,Ambulatory health care services,Province of Ontario,,635,mcewan avenue,N9B2E9,windsor,on
2963,centretown community health centre,community health centre,Hospitals,Province of Ontario,,420,cooper street,K2P2N6,ottawa,on
2964,centretown community health centre inc.,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,420,cooper street,K2P2N6,ottawa,on
2965,cerebral palsy parent council of toronto (participation house),community support service,Ambulatory health care services,Province of Ontario,,9,butternut lane,L3P3M1,markham,on
2966,chai-tikvah foundation,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,4600,bathurst street,M2R3V2,toronto,on
2967,champlain community care access centre (css),community support service,Ambulatory health care services,Province of Ontario,,4200,labelle street,K1J1J8,ottawa,on
2968,champlain local health integration network,local health integration network office,Ambulatory health care services,Province of Ontario,,1900,city park drive,K1J1A3,ottawa,on
2969,champlain local health integration network (lhin op),community support service,Ambulatory health care services,Province of Ontario,,1900,city park drive,K1J1A3,ottawa,on
2970,champlain manor retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,65,fittons road w,L3V3V2,orillia,on
2971,changes recovery homes,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1420,8 street n,P9N2S3,kenora,on
2972,chapel hill retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,2305,pagé road,K1W1H3,ottawa,on
2973,chapleau and district family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,2,broomhead road,P0M1K0,chapleau,on
2974,chapleau general hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,6,broomhead rd,P0M1K0,chapleau,on
2975,chapleau health services,hospital - corporation,Hospitals,Province of Ontario,,6,broomhead road,P0M1K0,chapleau,on
2976,charity house (windsor),mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,875,oullette avenue,N9A4J6,windsor,on
2977,charlotte villa,retirement home,Nursing and residential care facilities,Province of Ontario,,120,darling street,N3T5W6,brantford,on
2978,charlton physiotherapy,other,Ambulatory health care services,Canadian Institute for Health Information,,,,L8P3B3,hamilton,on
2979,chartwell anne hathaway retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,480,downie street,N5A7Y5,stratford,on
2980,chartwell aurora long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,32,mill street,L4G2R9,aurora,on
2981,chartwell avondale retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1238,queen street e,M4L1C3,toronto,on
2982,chartwell aylmer long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,465,talbot street w,N5H1K8,aylmer,on
2983,chartwell ballycliffe long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,70,station street,L1S1R9,ajax,on
2984,chartwell bankside terrace retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,71,bankside drive,N2N3L1,kitchener,on
2985,chartwell barclay house retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,600,chippewa street w,P1B9E7,north bay,on
2986,chartwell barrington retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,450,yonge street,L4N4E2,barrie,on
2987,chartwell barton retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,17290,leslie street,L3Y3E1,newmarket,on
2988,chartwell bayview retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,435,dundas street w,K8P1B6,belleville,on
2989,chartwell belcourt residence pour retraités,retirement home,Nursing and residential care facilities,Province of Ontario,,1344,belcourt boulevard,K1C1L9,ottawa,on
2990,chartwell bon air long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,131,laidlaw street s,L0E1E0,cannington,on
2991,chartwell brant centre long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,1182,northshore boulevard e,L7S1C5,burlington,on
2992,chartwell bridlewood retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,3998,bridle path drive,L1T4H4,ottawa,on
2993,chartwell centennial retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,259,hillcroft street,L1G8E4,oshawa,on
2994,chartwell champlain long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,428,front road w,K0B1K0,lorignal,on
2995,chartwell chateau cornwall retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,41,amelia street,K6H7E5,cornwall,on
2996,chartwell chateau georgian retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,455,cedar street n,P4N8K4,timmins,on
2997,chartwell christopher terrace retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,3131,new street,L7N3P8,burlington,on
2998,chartwell collegiate heights retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,95,fauquier avenue,P6B2B2,sault ste marie,on
2999,chartwell colonial retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,101,manning road,L1N9M2,whitby,on
3000,chartwell conservatory pond retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1499,stoneridge drive,K7M9H9,kingston,on
3001,chartwell constantia retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,784,centre street,L4J9G7,vaughan,on
3002,chartwell deerview crossing retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,460,rymal road w,L9B0B2,hamilton,on
3003,chartwell duke of devonshire retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1095,carling avenue,K1Y4P6,ottawa,on
3004,chartwell elmira long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,11,herbert street,N3B2B8,elmira,on
3005,chartwell elmira retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,8,snyder avenue n,N3B2B1,elmira,on
3006,chartwell empress kanata retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,170,mcgibbon drive,K2L4H5,ottawa,on
3007,chartwell georgian retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,255,governors road,L9H3K4,hamilton,on
3008,chartwell georgian traditions retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,57,trott boulevard,L9Y0A3,collingwood,on
3009,chartwell gibson long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,1925,steeles avenue e,M2H2H3,toronto,on
3010,chartwell gibson retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1955,steeles avenue e,M2H3P1,toronto,on
3011,chartwell glacier ridge retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1261,jasper drive,P7B6Z4,thunder bay,on
3012,chartwell grenadier retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,2100,bloor street w,M6S1M7,toronto,on
3013,chartwell hartford retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,3,fifth street w,K0C1X0,morrisburg,on
3014,chartwell harwood retirement residences,retirement home,Nursing and residential care facilities,Province of Ontario,,240,old harwood avenue,L1T0N2,ajax,on
3015,chartwell heritage glen retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,6509,glen erin drive,L5N8P9,mississauga,on
3016,chartwell hilldale retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,309,hilldale road,P7G0A2,thunder bay,on
3017,chartwell hollandview trail retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,200,john west way,L4G0E4,aurora,on
3018,chartwell héritage residence pour retraités,retirement home,Nursing and residential care facilities,Province of Ontario,,624,wilson street,K1K4S5,ottawa,on
3019,chartwell isabella retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1350,isabella street e,P7E0A5,thunder bay,on
3020,chartwell jackson creek retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,481,reid street,K9H7R9,peterborough,on
3021,chartwell james street retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,148,james street,P1L1S7,bracebridge,on
3022,chartwell kanata retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,20,shirleys brook drive,K2K2W8,ottawa,on
3023,chartwell kingsville retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,240,main street e,N9Y1A6,kingsville,on
3024,chartwell lakeshore retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,5314,lakeshore road,L7L6L8,burlington,on
3025,chartwell lancaster long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,105,military road n,K0C1N0,lancaster,on
3026,chartwell lansing retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,10,senlac road,M2N6P8,toronto,on
3027,chartwell leamington retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1,henry avenue,N8H5P1,leamington,on
3028,chartwell london long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,2000,blackwater road,N5X4K6,london,on
3029,chartwell lord lansdowne retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,920,bank street,K1S1M8,ottawa,on
3030,chartwell martha's landing retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,2109,lakeshore road,L7R4Z4,burlington,on
3031,chartwell mcconnell retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,801,fourth street e,K6H7M8,cornwall,on
3032,chartwell meadowbrook retirement community,retirement home,Nursing and residential care facilities,Province of Ontario,,18,jacobson drive,P3Y1P7,sudbury,on
3033,chartwell montgomery village retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,155,riddell road,L9W5H3,orangeville,on
3034,chartwell muskoka traditions retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,16,legacy lane,P1H0B1,huntsville,on
3035,chartwell new edinburgh square retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,420,mackay street,K1M2C4,ottawa,on
3036,chartwell niagara long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,120,wellington street,L0S1J0,niagara-on-the-lake,on
3037,chartwell oak park lasalle retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,3955,13 street,N9H2S7,windsor,on
3038,chartwell oak park terrace retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1750,ec row,N8W1Y3,windsor,on
3039,chartwell oakville retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,180,oak park boulevard,L6H0A6,oakville,on
3040,chartwell orchards retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,3421,frederick avenue,L0R2C0,lincoln,on
3041,chartwell oxford gardens retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,423,devonshire avenue,N4S0B2,woodstock,on
3042,chartwell park place retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,15055,yonge street,L4G6T4,aurora,on
3043,chartwell parkhill long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,250,tain street,N0M2K0,parkhill,on
3044,chartwell parkway retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1645,pickering parkway,L1V7E9,pickering,on
3045,chartwell pembroke heritage retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1111,pembroke street w,K8A8P6,pembroke,on
3046,chartwell pickering city centre retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1801,valley farm road,L1V0A5,pickering,on
3047,chartwell pine grove long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,8403,islington avenue,L4L1X3,vaughan,on
3048,chartwell pine grove retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,8403,islington avenue,L4L1X3,vaughan,on
3049,chartwell pinewood retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1022,pembroke street e,K8A8A7,pembroke,on
3050,chartwell quail creek retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,450,albert street,K7V4K4,renfrew,on
3051,chartwell queen's square retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,10,melville street n,N1S1H5,cambridge,on
3052,chartwell regency retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,29,mississauga road n,L5H2H7,mississauga,on
3053,chartwell retirement residences — aurora resthaven,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L4G2R9,aurora,on
3054,chartwell retirement residences — ballycliffe lodge nursing home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L1S1R9,ajax,on
3055,chartwell retirement residences — bon air residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L0E1E0,cannington,on
3056,chartwell retirement residences — chateau gardens aylmer,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N5H1K8,aylmer,on
3057,chartwell retirement residences — chateau gardens elmira,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N3B2B8,elmira,on
3058,chartwell retirement residences — chateau gardens lancaster long term care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K0C1N0,lancaster,on
3059,chartwell retirement residences — chateau gardens london,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N5X4K6,london,on
3060,chartwell retirement residences — chateau gardens niagara,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L0S1J0,niagara on the lake,on
3061,chartwell retirement residences — chateau gardens parkhill long term care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N0M2K0,parkhill,on
3062,chartwell retirement residences — pine grove lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L4L1X3,woodbridge,on
3063,chartwell retirement residences — queens garden,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L8R3P6,hamilton,on
3064,chartwell retirement residences — regina gardens,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L9C5E3,hamilton,on
3065,chartwell retirement residences — residence champlain,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K0B1K0,loriginal,on
3066,chartwell retirement residences — royal oak long term care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N9Y4G7,kingsville,on
3067,chartwell retirement residences — the brant centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L7S1C5,burlington,on
3068,chartwell retirement residences — the gibson long term care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M2H2H3,north york,on
3069,chartwell retirement residences — the waterford long term care residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L6M4V6,oakville,on
3070,chartwell retirement residences — the wenleigh long term care residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L5K2L6,mississauga,on
3071,chartwell retirement residences — the westbury,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M9C5S3,etobicoke,on
3072,chartwell retirement residences — the westmount,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N2E3Y4,kitchener,on
3073,chartwell retirement residences — the willowgrove long term care residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L9K1P6,ancaster,on
3074,chartwell retirement residences — the woodhaven,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L6B1E1,markham,on
3075,chartwell retirement residences — the wynfield,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L1G8E3,oshawa,on
3076,chartwell retirement residences — trilogy ltc inc.,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M1J3P4,scarborough,on
3077,chartwell retirement residences — white eagle residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M6K3A6,toronto,on
3078,chartwell rideau place retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,550,wilbrod street,K1N9M3,ottawa,on
3079,chartwell riverpark retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1,corkstown road,K2H1B6,ottawa,on
3080,chartwell riverside retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,201,riverside drive,N6H1E5,london,on
3081,chartwell robert speck retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,100,robert speck parkway,L4Z0A1,mississauga,on
3082,chartwell rockcliffe retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,100,island lodge road,K1N0A2,ottawa,on
3083,chartwell rogers cove retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,4,coveside drive,P1H2J9,huntsville,on
3084,chartwell rosedale retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1813,county road 2 e,K6V5T1,brockville,on
3085,chartwell rouge valley retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,5958,16 avenue,L3P3J3,markham,on
3086,chartwell royal marquis retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,590,grand marais road e,N8X3H4,windsor,on
3087,chartwell royal oak long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,1750,division road n,N9Y4G7,kingsville,on
3088,chartwell royal on gordon retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1691,gordon street,N1L1E1,guelph,on
3089,chartwell royalcliffe retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,609,wharncliffe road s,N6J2N7,london,on
3090,chartwell scarlett heights retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,4005,eglinton avenue w,M9A5H3,toronto,on
3091,chartwell southwind retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1645,paris street,P3E6L5,sudbury,on
3092,chartwell st. clair beach retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,13500,riverside drive e,N8N0C3,windsor,on
3093,chartwell stillwater creek retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,2018,robertson road,K2H1C6,ottawa,on
3094,chartwell stonehaven retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,70,stonehaven drive,K2M3B4,ottawa,on
3095,chartwell terrace on the square retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,100,caroline street s,N2L1X5,waterloo,on
3096,chartwell thunder bay retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,770,arundel street,P7A8C8,thunder bay,on
3097,chartwell tiffin retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,105,pillsbury drive,L4R0E7,midland,on
3098,chartwell tranquility place retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,436,powerline road,N3T6G5,brantford,on
3099,chartwell trilogy long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,340,mccowan road,M1J3P4,toronto,on
3100,chartwell valley vista retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,600,valley vista drive,L6A4H2,vaughan,on
3101,chartwell van horne retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,25,van horne avenue,K7A5L2,smiths falls,on
3102,chartwell waterford long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,2140,baronwood drive,L6M4V6,oakville,on
3103,chartwell waterford retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,2160,baronwood drive,L6M0Y1,oakville,on
3104,chartwell wedgewood retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,15,market street e,K6V0A6,brockville,on
3105,chartwell wellington park retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,181,janefield avenue,N1G1V2,guelph,on
3106,chartwell wenleigh long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,2065,leanne boulevard,L5K2L6,mississauga,on
3107,chartwell westbury long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,495,the west mall,M9C5S3,toronto,on
